City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,esmeraldas,-19.7625,-44.3139,25.97,51,58,1.58,BR,1693432666
344,pisco,-13.7,-76.2167,22.03,68,2,9.77,PE,1693432937
345,chilliwack,49.1747,-121.9443,22.87,67,89,2.68,CA,1693432937
346,kabalo,-6.05,26.9167,29.21,31,49,1.56,CD,1693432937
347,nambucca heads,-30.65,153.0,16.11,74,42,2.07,AU,1693432938
348,desaguadero,-16.5656,-69.0417,13.59,44,1,6.44,PE,1693432938
349,lagos,6.5833,3.75,22.9,94,100,1.24,NG,1693432554
350,chinde,26.8418,88.0763,19.25,82,34,1.16,NP,1693432938
351,quincy,42.2529,-71.0023,27.77,70,75,2.57,US,1693432642
352,mitsamiouli,-11.3847,43.2844,24.57,75,7,0.53,KM,1693432939
353,touros,-5.1989,-35.4608,24.94,80,0,6.11,BR,1693432939
354,susuman,62.7833,148.1667,16.39,60,100,9.54,RU,1693432939
355,ndioum,16.5129,-14.6471,31.94,53,100,6.76,SN,1693432939
356,mersrags,57.3354,23.1246,18.56,98,100,2.38,LV,1693432940
357,okha,53.5739,142.9478,12.99,91,100,3.53,RU,1693432651
358,midelt,32.6852,-4.7451,21.12,35,0,0.93,MA,1693432940
359,wynyard,-41.0,145.7167,11.28,83,95,5.93,AU,1693432940
360,san jose del guaviare,2.5729,-72.6459,29.56,70,80,0.13,CO,1693432940
361,greymouth,-42.4667,171.2,8.58,89,93,1.32,NZ,1693432941
362,johnstown,40.3267,-78.922,21.99,75,40,6.17,US,1693432861
363,nova sintra,14.8667,-24.7167,23.49,82,100,1.93,CV,1693432682
364,prieska,-29.6641,22.7474,17.35,25,0,3.79,ZA,1693432941
